ASIN,Price,Title,Stars,Ratings,Manufacturer,Link,Description,Features
B09B25QMKY,"1,099",Safari Swagpack 35 Ltrs Large Laptop Backpack With 3 Compartments and Raincover - Black (SWAGPACK19CBBLK),3.7,314,,https://amazon.com/dp/B09B25QMKY,,
B07NDX72BB,"2,306","KILLER 24 Ltrs, 19 inches Laptop Backpack (400170410007_Grey)",4.5,39,,https://amazon.com/dp/B07NDX72BB,Killer Holden Dx Grey 1 compartment stylish 24ltr Laptop Backpack,"1 Compartments + 1 front zipper Pockets + 2 side zipper pocket + Side easy access pocket for cards / passes,Outer Fabric: Durable PU coated Polyester waterproof Fabric. Inner Fabric: Strong PU coated polyester fabric,Well padded Laptop compartment for upto 15.6 inch Laptop and separate iPad padded slot.,Comfortable ergonomic design superior organization and comfortable weight distribution for effortless carrying for longer period,Dimensions: 19.00x13x6 inches (HxWxD); Capacity : 24L"
B09B27CYC4,"1,479","Safari Snap 35 Ltrs Large Laptop Backpack With 3 Compartments, Water Resistant Fabric - Black (SNAP19CBBLK)",3.8,216,,https://amazon.com/dp/B09B27CYC4,,
B07Q685WXQ,"1,399",SAFARI 18 Ltrs brilliant Blue Laptop/Casual/School/College Backpack with USB Charging (POWERPACK19CBBLB),3.7,124,,https://amazon.com/dp/B07Q685WXQ,,
B07F3X45WZ,509,ADISA Light Weight Laptop Backpack 32 Ltrs,4.0,"4,827",,https://amazon.com/dp/B07F3X45WZ,,
B07YDGQQN5,799,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",4.2,"5,634",FUR JADEN,https://amazon.com/dp/B07YDGQQN5,,"Designed for the Traveller in You - Fur Jaden Military Edition Rucksack Hiking Travel Backpack designed for Backpacking / Holiday Travel / Hiking / Camping / Safari for Men, Women, Boys, Girls, College Students.,Dedicated Shoe Compartment - This rucksack travelling hiking backpack comes with a dedicated compartment at the bottom to hold shoes / used or dirty clothes. This makes organising your belongings a lot easier and helps maintain personal hygiene as well.,Ergonomic Design - The rucksack features a sleek and ergonomic design with a balanced weight distribution system through its padded shoulder straps and padded waist straps thereby reducing the load on any given body part which helps ensure you can carry the same weight more comfortably and for much longer as compared to regular rucksacks.,Key Features - Capacity: 55 liters; Weight: 700 grams; Dimensions: 35 cms x 25 cms x 65 cms (LxWxH). Ventilated Water Bottle Pocket / Umbrella Pocket on Both Sides. Additional Buckle Clips to attach Yoga Mat / Tripods / Hiking Equipments on both sides. 1 Large Main Compartment plus 1 Front Compartment plus 1 Top Easy Access Pocket plus Shoe Compartment.,Warranty- 100% Genuine Fur Jaden Products, 10 days No Question asked replacement guarantee from the date of delivery. 1 Year Manufacturer Warranty against Defects"
B07K8KLB3P,448,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,4.3,"10,601",Wesley,https://amazon.com/dp/B07K8KLB3P,"#MadeinIndia. Wesley Milestone Unisex Laptop Backpack Durable Design: Laptop Backpack Features A Durable, Water-Repellent Snow Yarn Polyester Fabric And Streamlined Design With A Padded Interior To Protect Your Laptop, Notebook And Other Important Stuff. Laptop Backpack: Perfect For Daily Commuters, College Students And All Types Of Travelers Accommodates Laptops Up To 15.6 Inches. Convenient Storage: In Addition To The Laptop Compartment, There Are Separate Pockets For Mobile Devices, Business Cards, And Other Daily Tools In Quick-Access Compartments. The Main Compartment Offers Extra Space For Magazines, Notepad And Other Laptop Accessories.","Pattern Type : Pure Color || Closure Type : Zipper || Gender : Unisex,Material : Snow Yarn Polyester Fabric || Handle/Strap Type : Soft Handle/Adjustable Shoulder Straps,Dimensions : 13 * 18.5 Inch || Capacity : 25 Litre || Fit for 15.6 Inch Laptops/Notebooks,Two Side Water Bottle Pockets || One Main Compartment And A Front Pocket,Eco-friendly, Durable, Lightweight, Flexible And Water-Resistant Material Helps To Keep The Interior Dry"
B09RK6NCGC,"1,399",Trajectory Elegant Vegan Leather 15.6 Inch Laptop Messenger Office Bag with 10 years warranty and dual compartment with expandable bottom used as shoulder and handbag For Men and Women,4.2,40,,https://amazon.com/dp/B09RK6NCGC,leather Laptop sling office briefcase messenger gift fancy bag 15.6 13 16 men unisex handbag under 500 1000 2000 vegan rexine pu shoulder formal adult black brown tan polyester premium real genuine,"Outer Layer: Vegan Leather, Inner Layer : Polyester,PREMIUM CRAFTSMANSHIP: Handmade by Professional Artisans, a Stylish messenger bag perfect for Office and Business professionals, students and travellers for Elite Class statement.,HIGH QUALITY MATERIAL: Made from Premium and Rich quality PU Leather Fabric with Durable Polyester lining.,ONE BAG FOUR STYLES: There are 4 different ways for using this laptop Messenegr bag. The adjustable shoulder strap could be easily adjusted to appropriate length to be a SHOULDER BAG or a CROSS-BODY BAG, the detachable designing of shoulder strap can be removed to make your bag as a business BRIEFCASE or a HANDBAG.,MULTIPLE COMPARTMENT: With 5 multi functional compartments, keep all your belongs well organized anytime. Additional laptop pocket with Thick Shock-Proof Foam Padding to protect upto 15.6 inches laptop. Dimension: 43* 34 * 8 cm .We are proud to say that this product is MADE IN INDIA!,GENUINE RUST FREE METAL HARDWARE: Messenger bag with solid and updated sturdy Rust Free hardware for zippers, buckles, closures and latches to ensure long lasting durability also this Product Comes with 10 years WARRANTY."
B07YY6PTMN,899,Mi Business Casual 21L Water Resistant Laptop Backpack (Dark Grey),4.4,"4,428",,https://amazon.com/dp/B07YY6PTMN,,
B085S444JV,548,"Wesley Milestone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, Charcoal Black",4.3,"6,599",,https://amazon.com/dp/B085S444JV,,
